BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
86.61	Mémoires d’Anne de Gonzagues, princesse Palatine	SÉNAC DE MEILHAN, Gabriel
86.62	Le voyageur sentimental ou ma promenade à Yverdun par Mr Vernes le fils	VERNES fils, F.
86.63	Zéna ou la jalousie et le bonheur, rêve sentimental	VILLETERQUE, Alexandre-Louis
86.7	Daphnis et Clorinde
86.8	Les égaremens d’un philosophe ou la vie du chevalier de Saint-Albin, par M. de Saint-Clair
86.9	Euphémie, nouvelle, par madame ***
87.1	Adoulzin ou les dangers d’une mauvaise éducation
87.12	Histoire d’une Franco-indienne, écrite par elle-même Surate & Paris.
87.13	Le magnétiseur amoureux, par un membre de la société harmonique du régiment de Metz du corps-royal de l’artillerie
87.14	La matinée libertine ou les momens bien employés
87.16	La négresse couronnée ou les mœurs des peuples mises en action, histoire remplie d’événemens singuliers, amusans & curieux
87.20	Zilia et Agathide ou la volupté et le bonheur
87.24	Les amans d’autrefois, par Mnle la comtesse de B***	BEAUHARNAIS, Fanny de
87.25	Vathek	BECKFORD, William
87.29	Palémon, pastorale, par M. l’abbé Chaisneau	CHAISNEAU, abbé Charles
87.30	Tuyll van Scroos-kerken van Zuylen, dame de Caliste ou continuation des Lettres écrites de Lausanne, seconde partie	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
87.33	Misogug ou les femmes comme elles sont, histoire orientale traduite du chaldéen	CUBIÈRES-PALMÉZEAUX, Michel de
87.34	Hipparchie et Cratès, conte philosophique, renouvelé des Grecs, par un habitant de Potsdam	DANTAL, Charles
87.36	Contes sages et fous, par madame ***	DÉJARDIN DE COURCELLES, madame, née Tournay
87.38	Le comte de Tersanc, histoire presque véritable, par l’auteur de Cléomène et du Somnambule	DIDOT, Pierre
87.39	Le médecin de l’amour, par M. Doppet, docteur en médecine de la Faculté de Turin	DOPPET, François-Amédée
87.4	Azémor ou tableau des mœurs et coutumes du pays de Solamir, par M. de P....
87.40	Mémoires de sir George Wollap, ses voyages dans différentes parties du monde, aventures extraordinaires qui lui arrivent, découverte de plusieurs contrées inconnues, description des mœurs & des coutumes des habitans, par M.L.C.D.	DUPLESSIS, chevalier Pierre
87.41	Mélanges de poésie et de littérature, par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr. le duc de Penthièvre, des Académies de Madrid, de Florence, de Lyon, de Nismes, d’Angers etc.	FLORIAN, Jean-Pierre Claris de
87.42	L’homme errant fixé par la raison ou lettres de Célidor et du marquis de Tobers, par le comte d’Ay... & madame Filh. d’Hu.....	GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame
87.43	Le préjugé vaincu ou lettres de madame la comtesse de .... et de madame de .... réfugiée en Angleterre, par M. le comte d’Ay.....officier au régiment de Beaujolois & madame Filh ....d’H.....	GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame
87.44	Lettres de madame de G***, contenant plusieurs anecdotes dans son voyage aux eaux de Barège & quelques particularités échappées aux autres voyageurs en France	GAUTHIER, madame de
87.45	L’isle inconnue ou mémoires qui font la suite de ceux du chevalier des Gastines, recueillis & publiés par M. Grivel, des Académies de Dijon, de la Rochelle, de Rouen, de la Société philosophique de Philadelphie, &c.	GRIVEL, Guillaume
87.50	Eugénie et ses élèves ou lettres et dialogues à l’usage des jeunes personnes, par madame de La Fite, auteur des Entretiens, drames & contes moraux à l’usage des enfans	LAFITE, Marie-Elisabeth Bouée, madame de
87.51	Amusemens des eaux de Passy, par M. Lasolle, auteur des Mémoires de Versorand	LA SOLLE, Henri-François de
87.52	Bois-Robert Cécile, fille d’Achmet III, empereur des Turcs, née en 1710	LAVALLEE, Joseph, marquis de
87.53	Œuvres de M. Léonard, quatrième édition	LÉONARD, Nicolas-Germain
87.54	Le philosophe parvenu ou lettres et pièces originales contenant les aventures d’Eugène Sans-Pair, par l’auteur de VAventurier françois	LESUIRE, Robert-Martin
87.54bis	Ainsi finissent les grandes passions ou les dernières amours du chevalier de.....publiées par M. Loaisel de Tréogate	LOAISEL DE TRÉOGATE, Joseph-Marie
87.56	Une année de la vie du chevalier de Faublas	LOUVET DE COUVRAY, Jean-Baptiste
87.57	Les amours du chevalier Bayard avec madame de Randan et autres romans de M. de Mayer	MAYER, Charles-Joseph de
87.59	Lettres de Jenny Bleinmore, par madame Monnet, auteur des Contes orientaux	MONNET, Marie, née Moreau
87.6	La confession du conseiller D... G..., avec des notes sur les * objets les plus ignobles de la vie
87.60	La foie de Paris ou les extravagances de l’amour et de la crédulité, ouvrage rédigé et mis au jour par M. Nougaret	NOUGARET, Pierre-Jean-Baptiste
87.61	Le danger d’être trop sage, conte par M. Pigault	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
87.65	Les Parisiennes ou XL caractères généraux pris dans les mœurs actuelles, propres à servir à l’instruction des per-sonnes-du-sexe, tirés des mémoires du nouveau Lycée-des-mœurs	RÉTIF DE LA BRETONNE, Nicolas-Edme
87.67	Mémoire de Sultan-Faithful	RONESSE, Jacques-Hippolyte
87.68	Supplément à la Quinzaine angloise ou mémoires de monsieur Provence	RUTLIDGE, James, dit Jean-Jacques Rutledge
87.69	Histoire d’une détention de trente-neuf ans dans les prisons d’Etat, écrite par le prisonnier lui-même	SAINT-AULAIRE, Yrieix Beaupoil, marquis de
87.7	Confessions du comte de C****, avec l’histoire de ses voyages en Russie, Turquie, Italie et dans les pyramides d’Egypte
87.8	La femme vertueuse ou le débauché converti par l’amour, lettres publiées pour l’instruction de quelques sociétés, dans le genre des Liaisons dangereuses par M. l’A. D.L.G.
87.9	Les filles de l’Opéra, suivies des Epices de Vénus, nouvelles « libres et galantes
88.1	L’amant généreux
88.10	Fragment d’un voyage de sir W. Shittle-headed, traduit de l’anglais
88.100	Les nuits de Paris ou le spectateur-nocturne	RÉTIF DE LA BRETONNE, Nicolas-Edme
88.105	Tournon de La Chapelle Histoire de mademoiselle de Sirval ou le triomphe du sentiment, par M. Tournon, de l’Académie d’Arras	TOURNON, Alexandre, dit
88.106	Les Morlaques, par J.W.C.D.U. & R.	WYNNE, Justinienne, comtesse ORSINI-ROSENBERG
88.11	Histoire de la comtesse de Rochen ou mémoires d’une dame de qualité
88.14	Jenny et Walfield ou les épreuves de deux cœurs tendres
88.15	Lettres de la marquise de Brémont à Eugénie, publiées par la comtesse de ***
88.16	Lettres intéressantes de plusieurs personnes de qualité
88.17	Lucinde ou les amans traversés, histoire presque véritable
88.21	La philosophie du sentiment ou les loisirs d’un homme sensible
88.24	Le temple de Bélus, histoire babylonienne, traduite du grec par M.......avec des notes
88.25	La méchante femme et le bon jeune homme	ANDRÉ, Jean-François
88.27	Voyage du jeune Anacharsis en Grèce dans le milieu du quatrième siècle avant l’êre vulgaire	BARTHÉLEMY, abbé Jean-Jacques
88.3	Les contes de mon bisaïeul, tirés des Annales sécrétés de la cour de Thémis
88.32	La marquise de Ben***	BETTE D’ETTIENVILLE, Jean-Charles-Vincent de
88.33	Bagatelles littéraires, par L.B. de Bilderbeck	BILDERBECK, baron Ludwig Benedict Franz von
88.36	Le géant Isoirc, sire de Mont-Souris, histoire gauloise traduite du celte par M. de La Dixmerie	BRICAIRE DE LA DIXMERIE, Nicolas
88.39	Casanova de Seingalt Jcosameron (sic) ou histoire d’Edouard et d’Elisabeth, qui passèrent quatre vingts un ans chez les Mégamicres, habitans aborigènes du protocosme, dans l’intérieur de notre globe, traduite de l’anglois par Jacques Casanova de Seingalt, Vénitien, docteur ès loix, bibliothécaire de monsieur le comte de Waldstein, seigneur de Dux, chambellan de S.M.J.R.A. Prague, imprimerie de l’École	CASANOVA, Giacomo, dit
88.42	Areas, pastorale sur les assemblées provinciales, par M. l’abbé Chaisneau, curé de Maillot près de Sens	CHAISNEAU, abbé Charles
88.43	Tuyll van Serooskcrken van Zuylen, dame de Observations et conjectures politiques	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
88.46	Supplément à l’histoire de Zélie dans le désert, par madame D......, pour servir de suite à la première & seconde édition	DAUBENTON, Marguerite
88.48	Lolotte et Fanfan ou les aventures de deux enfans abandonnés dans une isle déserte, rédigées & publiées sur des manuscrits anglais, par M.D**. du M**. A Charle’s-Town et se trouve à	DUCRAY-DUMINIL, François-Guillaume
88.5	Les dangers d’un amour illicite ou le mariage mal assorti, histoire véritable, par M. le comte de ***
88.50	Code du bonheur renfermant des maximes et des réglés relatives aux devoirs de l’homme envers lui-même, envers ses semblables et envers Dieu, par M. Rodolphe-Louis d’Erlach, membre du Conseil souverain de la République de Berne & capitaine-général à Lugano	ERLACH, Rodolphe-Louis d’
88.51	Ander-Can, raja de Brampour et Padmani, histoire orientale, traduite de la langue malabare par madame la comtesse de Ch M.R.D.	FANTIN-DESODOARDS, Antoine-Etienne-Nicolas
88.52	La femme et les Vœux, par M ***	FERRIÈRES, Charles-Elie, marquis de
88.53	Claris de Estelle, roman pastoral par M. de Florian, capitaine de dragons et gentilhomme de S.A.S. Mgr le duc de Penthièvre, des Académies de Madrid, de Florence, de Lyon, de Nîmes, d’Angers, etc., etc.	FLORIAN, Jean-Pierre
88.54	Lettres de mademoiselle de Tourville à madame la comtesse de Lenoncourt	FONTETTE DE SOMMERY, mademoiselle
88.55	Miss Anysie ou le triomphe des mœurs et des vertus, par Mme- de Fumelh	FUMELH, madame de
88.56	Les dangers de la coquetterie	GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame
88.57	Opuscules en vers et en prose	GAUDE
88.59	Blançay, par l’auteur du Nouveau voyage sentimental	GORJY, Jean-Claude
88.6	Les écueils de l’amitié, anecdote espagnole
88.63	Mélange de vers et de prose, par le comte François d’Hartig, membre de l’Académie royale des sciences & belles-lettres de Marseille, du Musée de Paris, de l’Académie des sciences de Prague & de la Société d’émulation de Liège	HARTIG, Franz, Graf von
88.74	Erminie, poème en trois chants, par M. de Lantier, chevalier de l’Ordre de Saint-Louis, des Académies de Marseille, Florence & Rome	LANTIER, Étienne-François
88.75	Collection de romans et contes, imités de l’anglois, corrigés et revus de nouveau, par M. de La Place	LA PLACE, Pierre-Antoine de
88.76	Le mal-adroit ou lettres du comte de Gauchemont	LA SALLE D’OFFÉMONT, Adrien-Nicolas Piédefer, marquis de
88.78	Dernière suite de l’Aventurier françois, contenant les mémoires de Ninette Merviglia, fille de Grégoire Merveil, écrits par elle-même, & traduits de l’italien par son frère Cataudin	LESUIRE, Robert-Martin
88.79	Le jardin anglois ou variétés tant originales que traduites, par feu M. Le Tourneur, précédées d’une notice sur sa vie & ses ouvrages, avec son portrait dessiné d’après nature par M. Pujos	LE TOURNEUR, Pierre-Prime-Félicien
88.80	Histoire de Sophie et d’Ursule ou lettres extraites d’un portefeuille, mises en ordre & publiées par M. de Chamois	LE VACHER DE CHARNOIS, Jean-Charles
88.83	Six semaines de la vie du chevalier de Faublas, pour servir de suite à sa première année	LOUVET DE COUVRAY, Jean-Baptiste
88.84	Une seule faute ou les mémoires d’une demoiselle de qualité Bruxelles	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
88.86	Le comte de Saint-Méran ou les nouveaux égaremens du cœur et de l’esprit	MAIMIEUX, Joseph de
88.87	Justine d’Arancy ou la vertu calomniée, par l’auteur du Comte de Saint-Méran ou les nouveaux égaremens du coeur et de l’esprit	MAIMIEUX, Joseph de
88.88	Lettres de mylord Walton à sir Hugh Battle son ami, par madame la comtesse de Malarme, de l’Académie des Arcades de Rome	MALARME, Charlotte de Bournon, comtesse de
88.89	Le roman sans titre, histoire véritable ou peu s’en faut, par un philosophe du Palais-Royal	MARCHANT, François
88.90	Apologues modernes à l’usage du Dauphin, premières leçons du fils aîné d’un roi	MARÉCHAL, Pierre-Sylvain
88.91	Lisvart de Grèce, roman de chevalerie ou suite d’Amadis de Gaule, par M. Mayer	MAYER, Charles-Joseph de
88.92	Histoire de la baronne d’Alvigny, par Mad. D.M.S.J.N. A.J.F. d’O.	MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame
88.93	Mon journal d’un an ou mémoires de mademoiselle de Roza-delle-Saint-Ophelle, par M.A.J.F.D.M.S.J.N.D.O., suivis de poésies fugitives, d’une anecdote cachemirienne, & d’un conte pastoral	MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame
88.94	Le doctorat impromptu	NERCIAT, André-Robert Andréa de
88.95	Les galanteries du jeune chevalier de Faublas, ou les folies parisiennes, par l’auteur de Félicia	NERCIAT, André-Robert Andréa de
88.96	Les travers d’un homme de qualité ou les mille et une extravagances du comte de D***. mémoires rédigés & publiés par M. N***	NOUGARET, Pierre-Jean-Baptiste
88.97	Le printemps d’une jolie femme	PARENT, madame
88.98	Lettres d’Hortense de Valsin à Eugénie de S. Firmin	POLIER DE BOTTENS, Jeanne-Françoise de
89.104	Correspondance secrette entre Ninon de Lenclos, le marquis de Villarceaux et madame de M.......	SÉGUR, Alexandre-Joseph-Pierre, vicomte de
89.108	La Franciade ou l’ancienne France, poème en seize chants par M. Vernes fils, citoyen de Genève	VERNES fils, F.
89.11	Émerance ou l’orgueil vaincu par la raison, dédié à madame de B*** par M. B*****
89.111	Historiettes et conversations à l’usage des enfans qui commencent à lire un peu couramment, par madame de V.....	WIESENHUETTEN, Frederike Henriette, baronne de
89.112	Lydie de Gersin ou histoire d’une jeune Angloise de huit ans, pour servir à l’instruction & à l’amusement des jeunes Fran-çoises du même âge, traduction de l’anglois par madame de	WIESENHUETTEN, Frederike Henriette, baronne de
89.12	Le fils naturel
89.13	Grandar ou le héros abissin
89.16	Histoire véritable de Gingigolo, roi de Mano Ernugi
89.18	Lettres de l’un des ambassadeurs de Typoo-Saib, où il est beaucoup parlé des affaires du royaume de Gogo, avec l’aventure de Gigy, prince du sang des rois de cet empire, & de quelques autres princes qui en sont, ou qui n’en sont pas
89.2	Anandria ou confessions de mademoiselle Sapho, contenant les détails de sa réception dans la secte anandrine, sous la présidence de Mlle Raucourt, & ses diverses aventures
89.20	Mémoires d’une jeune fille, écrits par elle-même, histoire véritable
89.21	La Messaline française ou les nuits de la duch.... de Pol.....et aventures mystérieuses de la pr......se d’He.... et de la......ou vrage fort utile à tous les jeunes gens qui voudront faire un cours de libertinage, par l’abbé, compagnon de la fuite de la duch.... de Pol.....
89.22	Nouveau conte arabe
89.23	Le retour de Babouc à Persepolis ou la suite du Monde comme il va
89.24	Le royaume de Naudelit ou la France ressuscitée par les Etats-généraux, par un solitaire
89.25	Une nuit de Babylone
89.26	La voyageuse languedocienne ou les aventures de mademoiselle Delanoy, comtesse d’Itry, avec la description des royaumes, des provinces, des villes & autres lieux considérables ...; enrichi de remarques de recherches envieuses sur les antiquités, par l’auteur de la traduction du Voyage sentimental
89.32	Zilia, roman pastoral	BEAUFORT D’HAUTPOUL, comtesse Joséphine, née de Coutances
89.35	Anna ou les suites funestes des mauvais conseils, conte moral, par Fulgence Bédigis	BÉDIGIS, François-Nicolas
89.36	D’Anacharsis ou lettres d’un troubadour sur cet ouvrage, suivies de deux notices analytiques et de l’Epître de M. de Fontanes à M. l’abbé Barthélemi	BÉRENGER, Laurent-Pierre
